# CarANC Session Log
# format=jsonl
# vehicle=skoda Octavia 2019
# scenario=行駛中
# phonePlacement=中控下方
# connectionType=usb androidauto
# ---
{"ts":1781739456137,"phase":"session_start","vehicleModel":"skoda Octavia 2019","scenario":"行駛中","phonePlacement":"中控下方","connectionType":"usb androidauto","deviceModel":"Pixel 10 Pro Fold","deviceManufacturer":"Google","androidRelease":"17","sdkInt":37,"productName":"CarANC","subscriptionPlan":"pro_monthly","subscriptionLabel":"專業版（月訂）","safetyConsentAccepted":true}
{"ts":1781739456137,"phase":"service_start","subscriptionPlan":"pro_monthly","mimoEnabled":true,"obdEnabled":true}
{"ts":1781739456185,"phase":"aa_connected","connectionType":2}
{"ts":1781739463712,"phase":"bump_detected","blockRms":0.07953092,"frozen":true}
{"ts":1781739463715,"phase":"bump_detected","blockRms":0.039533973,"frozen":true}
{"ts":1781739463786,"phase":"bump_detected","blockRms":0.084904775,"frozen":true}
{"ts":1781739463789,"phase":"bump_detected","blockRms":0.06411756,"frozen":true}
{"ts":1781739463900,"phase":"bump_detected","blockRms":0.0695843,"frozen":true}
{"ts":1781739463902,"phase":"bump_detected","blockRms":0.041357856,"frozen":true}
{"ts":1781739463926,"phase":"bump_detected","blockRms":0.07626776,"frozen":true}
{"ts":1781739463931,"phase":"bump_detected","blockRms":0.13183966,"frozen":true}
{"ts":1781739463934,"phase":"bump_detected","blockRms":0.09435305,"frozen":true}
{"ts":1781739463983,"phase":"bump_detected","blockRms":0.055377316,"frozen":true}
{"ts":1781739464000,"phase":"bump_detected","blockRms":0.061412584,"frozen":true}
{"ts":1781739464008,"phase":"bump_detected","blockRms":0.061233766,"frozen":true}
{"ts":1781739464027,"phase":"bump_detected","blockRms":0.07144355,"frozen":true}
{"ts":1781739464070,"phase":"bump_detected","blockRms":0.08955367,"frozen":true}
{"ts":1781739464146,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-75.80362,"cancelledDb":-75.80362,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":28,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.1853068,"bandMidRatio":0.17860901,"bandHighRatio":0.6360842,"bandConfidence":0.4507774,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":21.52897,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.08257537,"speedValid":true,"speedAccuracyM":6.802,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.50003,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.5833334,"latencyFrameworkMs":35.0}
{"ts":1781739464155,"phase":"bump_detected","blockRms":0.05979956,"frozen":true}
{"ts":1781739464158,"phase":"bump_detected","blockRms":0.060361035,"frozen":true}
{"ts":1781739464179,"phase":"bump_detected","blockRms":0.058940124,"frozen":true}
{"ts":1781739464197,"phase":"bump_detected","blockRms":0.05397329,"frozen":true}
{"ts":1781739464199,"phase":"bump_detected","blockRms":0.07020511,"frozen":true}
{"ts":1781739464202,"phase":"bump_detected","blockRms":0.107503496,"frozen":true}
{"ts":1781739464216,"phase":"bump_detected","blockRms":0.099258944,"frozen":true}
{"ts":1781739464285,"phase":"bump_detected","blockRms":0.05019077,"frozen":true}
{"ts":1781739464358,"phase":"bump_detected","blockRms":0.05329391,"frozen":true}
{"ts":1781739464360,"phase":"bump_detected","blockRms":0.07520079,"frozen":true}
{"ts":1781739464402,"phase":"bump_detected","blockRms":0.025720587,"frozen":true}
{"ts":1781739464404,"phase":"bump_detected","blockRms":0.05238808,"frozen":true}
{"ts":1781739464532,"phase":"bump_detected","blockRms":0.050699282,"frozen":true}
{"ts":1781739464534,"phase":"bump_detected","blockRms":0.03509043,"frozen":true}
{"ts":1781739464571,"phase":"bump_detected","blockRms":0.0622208,"frozen":true}
{"ts":1781739464599,"phase":"bump_detected","blockRms":0.03306236,"frozen":true}
{"ts":1781739464602,"phase":"bump_detected","blockRms":0.115023606,"frozen":true}
{"ts":1781739464604,"phase":"bump_detected","blockRms":0.08523052,"frozen":true}
{"ts":1781739464630,"phase":"bump_detected","blockRms":0.11275257,"frozen":true}
{"ts":1781739464633,"phase":"bump_detected","blockRms":0.0887553,"frozen":true}
{"ts":1781739464666,"phase":"bump_detected","blockRms":0.06783557,"frozen":true}
{"ts":1781739464716,"phase":"bump_detected","blockRms":0.0715474,"frozen":true}
{"ts":1781739464770,"phase":"bump_detected","blockRms":0.04878831,"frozen":true}
{"ts":1781739464774,"phase":"bump_detected","blockRms":0.09156151,"frozen":true}
{"ts":1781739464777,"phase":"bump_detected","blockRms":0.06956813,"frozen":true}
{"ts":1781739464790,"phase":"bump_detected","blockRms":0.06579921,"frozen":true}
{"ts":1781739464807,"phase":"bump_detected","blockRms":0.07532384,"frozen":true}
{"ts":1781739464809,"phase":"bump_detected","blockRms":0.06777777,"frozen":true}
{"ts":1781739464851,"phase":"bump_detected","blockRms":0.054175172,"frozen":true}
{"ts":1781739464885,"phase":"bump_detected","blockRms":0.063515015,"frozen":true}
{"ts":1781739465067,"phase":"bump_detected","blockRms":0.051910546,"frozen":true}
{"ts":1781739465069,"phase":"bump_detected","blockRms":0.0181234,"frozen":true}
{"ts":1781739465136,"phase":"bump_detected","blockRms":0.087813385,"frozen":true}
{"ts":1781739465138,"phase":"bump_detected","blockRms":0.1133025,"frozen":true}
{"ts":1781739465171,"phase":"bump_detected","blockRms":0.08162873,"frozen":true}
{"ts":1781739465173,"phase":"bump_detected","blockRms":0.17689884,"frozen":true}
{"ts":1781739465175,"phase":"bump_detected","blockRms":0.10932556,"frozen":true}
{"ts":1781739465193,"phase":"bump_detected","blockRms":0.08666358,"frozen":true}
{"ts":1781739465266,"phase":"bump_detected","blockRms":0.07253648,"frozen":true}
{"ts":1781739465426,"phase":"bump_detected","blockRms":0.07457628,"frozen":true}
{"ts":1781739465428,"phase":"bump_detected","blockRms":0.0335982,"frozen":true}
{"ts":1781739465451,"phase":"bump_detected","blockRms":0.098158345,"frozen":true}
{"ts":1781739465456,"phase":"bump_detected","blockRms":0.06547413,"frozen":true}
{"ts":1781739465509,"phase":"bump_detected","blockRms":0.058649015,"frozen":true}
{"ts":1781739465513,"phase":"bump_detected","blockRms":0.11010063,"frozen":true}
{"ts":1781739465517,"phase":"bump_detected","blockRms":0.07254062,"frozen":true}
{"ts":1781739465523,"phase":"bump_detected","blockRms":0.10737855,"frozen":true}
{"ts":1781739465525,"phase":"bump_detected","blockRms":0.104600206,"frozen":true}
{"ts":1781739465536,"phase":"bump_detected","blockRms":0.09061729,"frozen":true}
{"ts":1781739465586,"phase":"bump_detected","blockRms":0.085319124,"frozen":true}
{"ts":1781739465588,"phase":"bump_detected","blockRms":0.13542855,"frozen":true}
{"ts":1781739465614,"phase":"bump_detected","blockRms":0.07499539,"frozen":true}
{"ts":1781739465674,"phase":"bump_detected","blockRms":0.074422196,"frozen":true}
{"ts":1781739465677,"phase":"bump_detected","blockRms":0.06565038,"frozen":true}
{"ts":1781739465683,"phase":"bump_detected","blockRms":0.059218302,"frozen":true}
{"ts":1781739465686,"phase":"bump_detected","blockRms":0.15117465,"frozen":true}
{"ts":1781739465689,"phase":"bump_detected","blockRms":0.10295013,"frozen":true}
{"ts":1781739465700,"phase":"bump_detected","blockRms":0.11671385,"frozen":true}
{"ts":1781739465760,"phase":"bump_detected","blockRms":0.07258333,"frozen":true}
{"ts":1781739465762,"phase":"bump_detected","blockRms":0.16275942,"frozen":true}
{"ts":1781739465764,"phase":"bump_detected","blockRms":0.1174858,"frozen":true}
{"ts":1781739465803,"phase":"bump_detected","blockRms":0.13158125,"frozen":true}
{"ts":1781739465805,"phase":"bump_detected","blockRms":0.14419384,"frozen":true}
{"ts":1781739465882,"phase":"bump_detected","blockRms":0.09689591,"frozen":true}
{"ts":1781739465884,"phase":"bump_detected","blockRms":0.11953746,"frozen":true}
{"ts":1781739465889,"phase":"bump_detected","blockRms":0.094249964,"frozen":true}
{"ts":1781739465892,"phase":"bump_detected","blockRms":0.14178154,"frozen":true}
{"ts":1781739465930,"phase":"bump_detected","blockRms":0.14931439,"frozen":true}
{"ts":1781739465949,"phase":"bump_detected","blockRms":0.23014906,"frozen":true}
{"ts":1781739466106,"phase":"bump_detected","blockRms":0.16300917,"frozen":true}
{"ts":1781739466150,"phase":"bump_detected","blockRms":0.11942944,"frozen":true}
{"ts":1781739466153,"phase":"bump_detected","blockRms":0.12706523,"frozen":true}
{"ts":1781739466160,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-25.623423,"cancelledDb":-25.623423,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":28,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.0021190462,"bandMidRatio":0.00158518,"bandHighRatio":0.99629575,"bandConfidence":0.9941767,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.05284824,"speedValid":true,"speedAccuracyM":6.53,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.50003,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.5833334,"latencyFrameworkMs":35.0}
{"ts":1781739466192,"phase":"bump_detected","blockRms":0.09691344,"frozen":true}
{"ts":1781739466193,"phase":"bump_detected","blockRms":0.20437743,"frozen":true}
{"ts":1781739466195,"phase":"bump_detected","blockRms":0.13220051,"frozen":true}
{"ts":1781739466244,"phase":"bump_detected","blockRms":0.15739806,"frozen":true}
{"ts":1781739466247,"phase":"bump_detected","blockRms":0.18665577,"frozen":true}
{"ts":1781739466267,"phase":"bump_detected","blockRms":0.1643576,"frozen":true}
{"ts":1781739466269,"phase":"bump_detected","blockRms":0.13652606,"frozen":true}
{"ts":1781739466342,"phase":"bump_detected","blockRms":0.109589554,"frozen":true}
{"ts":1781739466345,"phase":"bump_detected","blockRms":0.06708947,"frozen":true}
{"ts":1781739466358,"phase":"bump_detected","blockRms":0.07471817,"frozen":true}
{"ts":1781739466448,"phase":"bump_detected","blockRms":0.07237528,"frozen":true}
{"ts":1781739466451,"phase":"bump_detected","blockRms":0.06613628,"frozen":true}
{"ts":1781739466491,"phase":"bump_detected","blockRms":0.06530996,"frozen":true}
{"ts":1781739466512,"phase":"bump_detected","blockRms":0.064223334,"frozen":true}
{"ts":1781739466515,"phase":"bump_detected","blockRms":0.085553356,"frozen":true}
{"ts":1781739466530,"phase":"bump_detected","blockRms":0.04623745,"frozen":true}
{"ts":1781739466546,"phase":"bump_detected","blockRms":0.1039031,"frozen":true}
{"ts":1781739466549,"phase":"bump_detected","blockRms":0.07366547,"frozen":true}
{"ts":1781739466568,"phase":"bump_detected","blockRms":0.08265085,"frozen":true}
{"ts":1781739466582,"phase":"bump_detected","blockRms":0.09261811,"frozen":true}
{"ts":1781739466584,"phase":"bump_detected","blockRms":0.09717745,"frozen":true}
{"ts":1781739466641,"phase":"bump_detected","blockRms":0.07193369,"frozen":true}
{"ts":1781739466678,"phase":"bump_detected","blockRms":0.07601044,"frozen":true}
{"ts":1781739466681,"phase":"bump_detected","blockRms":0.068699256,"frozen":true}
{"ts":1781739466746,"phase":"bump_detected","blockRms":0.074899755,"frozen":true}
{"ts":1781739466757,"phase":"bump_detected","blockRms":0.09018092,"frozen":true}
{"ts":1781739466760,"phase":"bump_detected","blockRms":0.14777812,"frozen":true}
{"ts":1781739466762,"phase":"bump_detected","blockRms":0.076366656,"frozen":true}
{"ts":1781739466878,"phase":"bump_detected","blockRms":0.025512679,"frozen":true}
{"ts":1781739466880,"phase":"bump_detected","blockRms":0.06387885,"frozen":true}
{"ts":1781739466882,"phase":"bump_detected","blockRms":0.04998479,"frozen":true}
{"ts":1781739466925,"phase":"bump_detected","blockRms":0.07015141,"frozen":true}
{"ts":1781739466928,"phase":"bump_detected","blockRms":0.025808793,"frozen":true}
{"ts":1781739467087,"phase":"bump_detected","blockRms":0.054575812,"frozen":true}
{"ts":1781739467105,"phase":"bump_detected","blockRms":0.1003125,"frozen":true}
{"ts":1781739467108,"phase":"bump_detected","blockRms":0.1650705,"frozen":true}
{"ts":1781739467110,"phase":"bump_detected","blockRms":0.10765702,"frozen":true}
{"ts":1781739467130,"phase":"bump_detected","blockRms":0.077817775,"frozen":true}
{"ts":1781739467184,"phase":"bump_detected","blockRms":0.03836432,"frozen":true}
{"ts":1781739467187,"phase":"bump_detected","blockRms":0.0695279,"frozen":true}
{"ts":1781739467268,"phase":"bump_detected","blockRms":0.03225082,"frozen":true}
{"ts":1781739467270,"phase":"bump_detected","blockRms":0.09595681,"frozen":true}
{"ts":1781739467282,"phase":"bump_detected","blockRms":0.08076995,"frozen":true}
{"ts":1781739467295,"phase":"bump_detected","blockRms":0.069274925,"frozen":true}
{"ts":1781739467316,"phase":"bump_detected","blockRms":0.07819766,"frozen":true}
{"ts":1781739467461,"phase":"bump_detected","blockRms":0.04023922,"frozen":true}
{"ts":1781739467500,"phase":"bump_detected","blockRms":0.02761002,"frozen":true}
{"ts":1781739467503,"phase":"bump_detected","blockRms":0.0676585,"frozen":true}
{"ts":1781739467564,"phase":"bump_detected","blockRms":0.030742962,"frozen":true}
{"ts":1781739467567,"phase":"bump_detected","blockRms":0.09926328,"frozen":true}
{"ts":1781739467570,"phase":"bump_detected","blockRms":0.055633705,"frozen":true}
{"ts":1781739467617,"phase":"bump_detected","blockRms":0.020481793,"frozen":true}
{"ts":1781739467619,"phase":"bump_detected","blockRms":0.10250722,"frozen":true}
{"ts":1781739467621,"phase":"bump_detected","blockRms":0.103237465,"frozen":true}
{"ts":1781739467768,"phase":"bump_detected","blockRms":0.07260207,"frozen":true}
{"ts":1781739467770,"phase":"bump_detected","blockRms":0.033243895,"frozen":true}
{"ts":1781739467786,"phase":"bump_detected","blockRms":0.029772999,"frozen":true}
{"ts":1781739467788,"phase":"bump_detected","blockRms":0.12619698,"frozen":true}
{"ts":1781739467791,"phase":"bump_detected","blockRms":0.109299995,"frozen":true}
{"ts":1781739467850,"phase":"bump_detected","blockRms":0.069646396,"frozen":true}
{"ts":1781739467852,"phase":"bump_detected","blockRms":0.07122278,"frozen":true}
{"ts":1781739467861,"phase":"bump_detected","blockRms":0.08045182,"frozen":true}
{"ts":1781739467865,"phase":"bump_detected","blockRms":0.08882148,"frozen":true}
{"ts":1781739467905,"phase":"bump_detected","blockRms":0.07036838,"frozen":true}
{"ts":1781739468023,"phase":"bump_detected","blockRms":0.042184744,"frozen":true}
{"ts":1781739468024,"phase":"bump_detected","blockRms":0.038957536,"frozen":true}
{"ts":1781739468068,"phase":"bump_detected","blockRms":0.0694896,"frozen":true}
{"ts":1781739468071,"phase":"bump_detected","blockRms":0.023799881,"frozen":true}
{"ts":1781739468096,"phase":"bump_detected","blockRms":0.06320849,"frozen":true}
{"ts":1781739468171,"phase":"bump_detected","blockRms":0.031312488,"frozen":true}
{"ts":1781739468185,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-75.885666,"cancelledDb":-82.88075,"reductionDb":6.9950867,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":28,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.150591,"bandMidRatio":0.13911036,"bandHighRatio":0.71029866,"bandConfidence":0.55970764,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":27.698555,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.033822875,"speedValid":true,"speedAccuracyM":6.292,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.50003,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.5833334,"latencyFrameworkMs":35.0}
{"ts":1781739468218,"phase":"bump_detected","blockRms":0.044315215,"frozen":true}
{"ts":1781739468221,"phase":"bump_detected","blockRms":0.12454966,"frozen":true}
{"ts":1781739468223,"phase":"bump_detected","blockRms":0.120054536,"frozen":true}
{"ts":1781739468289,"phase":"bump_detected","blockRms":0.06727077,"frozen":true}
{"ts":1781739468292,"phase":"bump_detected","blockRms":0.045067806,"frozen":true}
{"ts":1781739468331,"phase":"bump_detected","blockRms":0.031304855,"frozen":true}
{"ts":1781739468342,"phase":"bump_detected","blockRms":0.03677078,"frozen":true}
{"ts":1781739468345,"phase":"bump_detected","blockRms":0.122798115,"frozen":true}
{"ts":1781739468347,"phase":"bump_detected","blockRms":0.09137629,"frozen":true}
